PC,Eigenvalue,Explained variance ratio,Cumulative explained variance
8,6.727740872599226,0.011990776796272801,0.6885462265739651
9,5.5875318580263835,0.009958595109471446,0.6985048216834366
10,5.414872288752581,0.009650865903470843,0.7081556875869075
11,4.8255461090727865,0.00860051648981834,0.7167562040767258
12,4.490186872103286,0.008002809498241528,0.7247590135749673
13,4.286602680423889,0.007639963685969013,0.7323989772609363
14,3.62078775362622,0.006453289239666635,0.7388522665006029
15,3.5478221491356408,0.006323243464447347,0.7451755099650502
16,3.364898612010134,0.005997220904126996,0.7511727308691772
17,3.2921169795970826,0.005867503020269779,0.757040233889447
18,3.228474597925717,0.005754073920092542,0.7627943078095395
19,3.1864704891164504,0.00567921046996925,0.7684735182795087
20,2.958531731093605,0.00527295778835911,0.7737464760678678
21,2.807417865986194,0.005003629248268505,0.7787501053161363
22,2.7403438927197685,0.00488408406103448,0.7836341893771708
23,2.683099396610622,0.00478205784024832,0.7884162472174191
24,2.6289956262814655,0.0046856292996521835,0.7931018765170713
25,2.5208556298726768,0.004492892601815223,0.7975947691188865
26,2.3622841438467104,0.0042102724279416024,0.8018050415468281
27,2.3451793888634667,0.004179786815751285,0.8059848283625793
28,2.2755592870147012,0.00405570369221686,0.8100405320547962
29,2.179917090552847,0.0038852416824878356,0.813925773737284
30,2.17146658161571,0.003870180435570195,0.8177959541728542
31,2.0533085908464273,0.003659588779196968,0.8214555429520511
32,1.989315047054437,0.0035455338067265714,0.8250010767587778
33,1.9522235582027094,0.003479426063832681,0.8284805028226104
34,1.8918770117255357,0.003371871093607716,0.8318523739162181
35,1.8497395596616077,0.003296769987303216,0.8351491439035214
36,1.8415369109949422,0.003282150498954487,0.8384312944024759
37,1.7984149866598547,0.0032052947788072223,0.8416365891812831
38,1.6586254085095784,0.0029561493878377406,0.8445927385691209
