threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,roc_auc,pr_auc_average_precision,tn,fp,fn,tp
0.59,0.9786666666666667,0.88,0.43137254901960786,0.5789473684210527,0.9979296066252588,0.7146510778224333,0.9769550332210201,0.7507411094275329,1446,3,29,22
0.6,0.9786666666666667,0.88,0.43137254901960786,0.5789473684210527,0.9979296066252588,0.7146510778224333,0.9769550332210201,0.7507411094275329,1446,3,29,22
0.61,0.978,0.875,0.4117647058823529,0.56,0.9979296066252588,0.7048471562538059,0.9769550332210201,0.7507411094275329,1446,3,30,21
0.62,0.978,0.875,0.4117647058823529,0.56,0.9979296066252588,0.7048471562538059,0.9769550332210201,0.7507411094275329,1446,3,30,21
0.63,0.978,0.875,0.4117647058823529,0.56,0.9979296066252588,0.7048471562538059,0.9769550332210201,0.7507411094275329,1446,3,30,21
0.6399999999999999,0.978,0.875,0.4117647058823529,0.56,0.9979296066252588,0.7048471562538059,0.9769550332210201,0.7507411094275329,1446,3,30,21
0.6499999999999999,0.9773333333333334,0.9047619047619048,0.37254901960784315,0.5277777777777779,0.9986197377501725,0.6855843786790079,0.9769550332210201,0.7507411094275329,1447,2,32,19
0.6599999999999999,0.9766666666666667,0.9444444444444444,0.3333333333333333,0.49275362318840576,0.9993098688750862,0.6663216011042098,0.9769550332210201,0.7507411094275329,1448,1,34,17
0.6699999999999999,0.9766666666666667,0.9444444444444444,0.3333333333333333,0.49275362318840576,0.9993098688750862,0.6663216011042098,0.9769550332210201,0.7507411094275329,1448,1,34,17
0.6799999999999999,0.9766666666666667,0.9444444444444444,0.3333333333333333,0.49275362318840576,0.9993098688750862,0.6663216011042098,0.9769550332210201,0.7507411094275329,1448,1,34,17
0.69,0.9766666666666667,0.9444444444444444,0.3333333333333333,0.49275362318840576,0.9993098688750862,0.6663216011042098,0.9769550332210201,0.7507411094275329,1448,1,34,17
0.7,0.9766666666666667,0.9444444444444444,0.3333333333333333,0.49275362318840576,0.9993098688750862,0.6663216011042098,0.9769550332210201,0.7507411094275329,1448,1,34,17
0.71,0.9766666666666667,0.9444444444444444,0.3333333333333333,0.49275362318840576,0.9993098688750862,0.6663216011042098,0.9769550332210201,0.7507411094275329,1448,1,34,17
0.72,0.9766666666666667,0.9444444444444444,0.3333333333333333,0.49275362318840576,0.9993098688750862,0.6663216011042098,0.9769550332210201,0.7507411094275329,1448,1,34,17
0.73,0.976,1.0,0.29411764705882354,0.45454545454545453,1.0,0.6470588235294118,0.9769550332210201,0.7507411094275329,1449,0,36,15
0.74,0.9753333333333334,1.0,0.27450980392156865,0.43076923076923085,1.0,0.6372549019607843,0.9769550332210201,0.7507411094275329,1449,0,37,14
0.7499999999999999,0.9753333333333334,1.0,0.27450980392156865,0.43076923076923085,1.0,0.6372549019607843,0.9769550332210201,0.7507411094275329,1449,0,37,14
0.7599999999999999,0.9746666666666667,1.0,0.2549019607843137,0.40625,1.0,0.6274509803921569,0.9769550332210201,0.7507411094275329,1449,0,38,13
0.7699999999999999,0.974,1.0,0.23529411764705882,0.38095238095238093,1.0,0.6176470588235294,0.9769550332210201,0.7507411094275329,1449,0,39,12
0.7799999999999999,0.974,1.0,0.23529411764705882,0.38095238095238093,1.0,0.6176470588235294,0.9769550332210201,0.7507411094275329,1449,0,39,12
0.7899999999999999,0.9726666666666667,1.0,0.19607843137254902,0.3278688524590164,1.0,0.5980392156862745,0.9769550332210201,0.7507411094275329,1449,0,41,10
0.7999999999999999,0.972,1.0,0.17647058823529413,0.3,1.0,0.5882352941176471,0.9769550332210201,0.7507411094275329,1449,0,42,9
0.8099999999999999,0.972,1.0,0.17647058823529413,0.3,1.0,0.5882352941176471,0.9769550332210201,0.7507411094275329,1449,0,42,9
